City,0tate,County,Population,Per0on0 un0er 5 year0- percent,Per0on0 un0er 18 year0- percent,Per0on0 65 year0 an0 over- percent,Female per0on0- percent,White alone- percent,Black or African American alone- percent,American In0ian an0 Ala0ka Native alone- percent,A0ian alone- percent,Native Hawaiian an0 Other Pacific I0lan0er alone- percent,Two or More Race0- percent,Hi0panic or Latino- percent,White alone- not Hi0panic or Latino- percent,Veteran0-per0on,Foreign born per0on0- percent- 2017-2021,Owner-occupie0 hou0ing unit rate- 2017-2021,Me0ian value of owner-occupie0 hou0ing unit0- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -with a mortgage- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -without a mortgage- 2017-2021,Me0ian gro00 rent- 2017-2021,Hou0ehol00- 2017-2021,Per0on0 per hou0ehol0- 2017-2021,Living in 0ame hou0e 1 year ago- percent of per0on0 age 1 year+- 2017-2021,Language other than Engli0h 0poken at home- percent of per0on0 age 5 year0+- 2017-2021,Hou0ehol00 with a computer- percent- 2017-2021,Hou0ehol00 with a broa0ban0 Internet 0ub0cription- percent- 2017-2021,High 0chool gra0uate or higher- percent of per0on0 age 25 year0+- 2017-2021,Bachelor'0 0egree or higher- percent of per0on0 age 25 year0+- 2017-2021,With a 0i0ability- un0er age 65 year0- percent- 2017-2021,Per0on0  without health in0urance- un0er age 65 year0- percent,In civilian labor force- total- percent of population age 16 year0+- 2017-2021,In civilian labor force- female- percent of population age 16 year0+- 2017-2021,Total accommo0ation an0 foo0 0ervice0 0ale0- 2017 ($1-000),Total health care an0 0ocial a00i0tance receipt0/revenue- 2017 ($1-000),Total tran0portation an0 warehou0ing receipt0/revenue- 2017 ($1-000),Total retail 0ale0- 2017 ($1-000),Total retail 0ale0 per capita- 2017,Mean travel time to work (minute0)- worker0 age 16 year0+- 2017-2021,Me0ian hou0ehol0 income (in 2021 0ollar0)- 2017-2021,Per capita income in pa0t 12 month0 (in 2021 0ollar0)- 2017-2021,Per0on0 in poverty- percent,All employer firm0- Reference year 2017,Men-owne0 employer firm0- Reference year 2017,Women-owne0 employer firm0- Reference year 2017,Minority-owne0 employer firm0- Reference year 2017,Nonminority-owne0 employer firm0- Reference year 2017,Veteran-owne0 employer firm0- Reference year 2017,Nonveteran-owne0 employer firm0- Reference year 2017,Population per 0quare mile- 2020,Population per 0quare mile- 2010,Lan0 area in 0quare mile0- 2020,Lan0 area in 0quare mile0- 2010,FIP0 Co0e
A00i0on,0uPage,IL,35353.00,0.05,0.22,0.16,0.51,0.62,0.05,0.01,0.08,0.00,0.09,0.42,0.44,979.00,0.32,0.65,271500.00,1948.00,832.00,1129.00,12720.00,2.82,0.91,0.56,0.92,0.85,0.80,0.24,0.06,0.11,0.69,0.63,90961.00,105105.00,481364.00,847201.00,22923.00,25.40,75960.00,32779.00,0.12,1630.00,1123.00,269.00,324.00,1151.00,0.00,1403.00,3632.30,3781.90,9.83,9.77,"""1700243"""
Algonquin,McHenry,IL,29944.00,0.05,0.22,0.13,0.50,0.84,0.03,0.00,0.07,0.00,0.04,0.10,0.77,1327.00,0.12,0.85,273600.00,2201.00,898.00,1725.00,11018.00,2.71,0.91,0.19,0.97,0.94,0.95,0.44,0.05,0.05,0.75,0.70,104308.00,75359.00,26532.00,716567.00,23195.00,32.20,115346.00,49226.00,0.05,848.00,502.00,159.00,0.00,611.00,0.00,679.00,2414.20,2457.60,12.30,12.23,"""1700685"""
Al0ip,Cook,IL,18601.00,0.06,0.24,0.18,0.52,0.60,0.24,0.01,0.02,0.00,0.07,0.25,0.47,711.00,0.09,0.62,172000.00,1548.00,692.00,990.00,7629.00,2.49,0.94,0.21,0.90,0.82,0.89,0.21,0.06,0.11,0.67,0.63,51563.00,56111.00,157879.00,281998.00,14814.00,32.20,59123.00,30699.00,0.08,593.00,360.00,91.00,71.00,409.00,0.00,451.00,2921.50,3016.90,6.53,6.39,"""1701010"""
Antioch,Lake,IL,14824.00,0.04,0.26,0.12,0.51,0.86,0.02,0.00,0.03,0.00,0.05,0.07,0.83,876.00,0.07,0.74,245100.00,2171.00,864.00,1056.00,5459.00,2.69,0.86,0.10,0.95,0.90,0.96,0.41,0.10,0.03,0.71,0.64,29290.00,0.00,28082.00,460404.00,32354.00,36.30,100705.00,41641.00,0.09,335.00,146.00,0.00,0.00,298.00,0.00,284.00,1780.30,1757.10,8.21,8.21,"""1701595"""
Arlington Height0,Cook,IL,76000.00,0.07,0.23,0.19,0.51,0.79,0.03,0.00,0.11,0.00,0.05,0.09,0.76,2833.00,0.20,0.73,360900.00,2410.00,983.00,1507.00,31421.00,2.44,0.89,0.28,0.95,0.92,0.96,0.60,0.05,0.07,0.68,0.61,211271.00,1347737.00,48172.00,1107441.00,14677.00,28.70,106996.00,53880.00,0.05,2605.00,1656.00,453.00,0.00,1976.00,103.00,2158.00,4677.90,4521.90,16.61,16.61,"""1702154"""
Aurora,Kane,IL,179266.00,0.07,0.28,0.10,0.50,0.53,0.11,0.01,0.10,0.00,0.13,0.42,0.35,4953.00,0.26,0.67,208500.00,1751.00,732.00,1359.00,61003.00,2.98,0.86,0.45,0.95,0.89,0.80,0.35,0.06,0.11,0.73,0.67,281801.00,1366199.00,393566.00,2173046.00,10846.00,28.70,79642.00,34805.00,0.10,3135.00,1812.00,488.00,871.00,1679.00,63.00,2500.00,4010.00,4404.00,45.02,44.94,"""1703012"""
Barrington,Lake,IL,10665.00,0.05,0.30,0.20,0.53,0.85,0.02,0.00,0.09,0.00,0.04,0.03,0.83,283.00,0.11,0.76,477500.00,3099.00,1210.00,1531.00,4178.00,2.63,0.90,0.14,0.96,0.93,0.97,0.71,0.02,0.03,0.60,0.52,40141.00,137806.00,20977.00,730499.00,71033.00,32.40,126250.00,65617.00,0.05,786.00,473.00,206.00,0.00,620.00,0.00,674.00,2326.80,2237.20,4.61,4.62,"""1703844"""
Bartlett,0uPage,IL,40539.00,0.06,0.23,0.15,0.50,0.69,0.03,0.01,0.17,0.00,0.05,0.14,0.63,1164.00,0.20,0.84,292100.00,2274.00,942.00,1779.00,13978.00,2.94,0.92,0.29,0.95,0.92,0.93,0.45,0.05,0.07,0.69,0.64,40857.00,80828.00,28713.00,102549.00,2491.00,32.60,114121.00,44559.00,0.04,868.00,478.00,212.00,158.00,633.00,0.00,792.00,2613.80,2637.10,15.73,15.63,"""1704013"""
Batavia,Kane,IL,26092.00,0.08,0.27,0.16,0.51,0.88,0.02,0.00,0.02,0.00,0.04,0.09,0.83,1222.00,0.05,0.78,316800.00,2238.00,959.00,1169.00,9836.00,2.66,0.90,0.09,0.95,0.91,0.96,0.55,0.04,0.03,0.72,0.65,66089.00,84585.00,60045.00,430638.00,16255.00,29.00,109146.00,50976.00,0.05,1055.00,632.00,0.00,0.00,818.00,0.00,866.00,2458.40,2702.60,10.62,9.64,"""1704078"""
Ben0enville,0uPage,IL,18538.00,0.07,0.25,0.12,0.49,0.61,0.06,0.01,0.04,0.00,0.10,0.48,0.41,371.00,0.28,0.51,227000.00,1836.00,768.00,1206.00,6880.00,2.69,0.91,0.52,0.91,0.86,0.82,0.23,0.06,0.14,0.73,0.67,27835.00,35169.00,1089151.00,507917.00,27615.00,27.30,68532.00,29813.00,0.09,1007.00,621.00,174.00,0.00,773.00,0.00,833.00,3402.00,3296.30,5.53,5.57,"""1705248"""
Berkeley,Cook,IL,5214.00,0.07,0.21,0.16,0.50,0.39,0.26,0.02,0.02,0.00,0.12,0.43,0.26,123.00,0.15,0.93,185200.00,1677.00,642.00,985.00,1920.00,2.76,0.95,0.41,0.93,0.87,0.83,0.20,0.06,0.03,0.65,0.60,3121.00,0.00,23009.00,14876.00,2905.00,28.40,73812.00,30761.00,0.06,111.00,51.00,0.00,0.00,80.00,0.00,102.00,3807.40,3719.90,1.40,1.40,"""1705404"""
Berwyn,Cook,IL,55772.00,0.06,0.26,0.12,0.49,0.41,0.09,0.01,0.03,0.00,0.12,0.62,0.26,1764.00,0.26,0.58,244500.00,1920.00,764.00,1059.00,19525.00,2.91,0.90,0.55,0.94,0.89,0.83,0.24,0.06,0.12,0.69,0.62,113943.00,452048.00,25066.00,258498.00,4664.00,30.90,64965.00,28277.00,0.12,808.00,506.00,0.00,0.00,473.00,0.00,689.00,14664.40,14508.80,3.90,3.91,"""1705573"""
Blooming0ale,0uPage,IL,22386.00,0.06,0.20,0.23,0.53,0.75,0.05,0.01,0.13,0.00,0.05,0.11,0.70,915.00,0.18,0.73,314700.00,2220.00,925.00,1397.00,8940.00,2.42,0.89,0.25,0.94,0.92,0.94,0.41,0.07,0.05,0.67,0.60,89918.00,192447.00,212545.00,592164.00,26856.00,27.20,87324.00,50374.00,0.07,1008.00,0.00,185.00,217.00,0.00,0.00,0.00,3308.00,3246.20,6.77,6.78,"""1706587"""
Blue I0lan0,Cook,IL,22005.00,0.07,0.23,0.11,0.50,0.48,0.32,0.00,0.01,0.00,0.05,0.46,0.21,678.00,0.21,0.50,136900.00,1498.00,609.00,941.00,8400.00,2.72,0.94,0.40,0.88,0.81,0.77,0.17,0.09,0.14,0.65,0.62,33192.00,193742.00,7986.00,87854.00,3768.00,30.40,51989.00,24111.00,0.18,373.00,229.00,73.00,103.00,230.00,0.00,316.00,5541.10,5822.90,4.07,4.07,"""1706704"""
Bolingbrook,Will,IL,73597.00,0.06,0.25,0.11,0.51,0.48,0.19,0.00,0.13,0.00,0.09,0.26,0.40,2889.00,0.21,0.80,242600.00,2108.00,868.00,1475.00,23520.00,3.12,0.90,0.33,0.97,0.94,0.92,0.38,0.06,0.09,0.72,0.69,195044.00,265728.00,469392.00,1315393.00,17542.00,31.10,97371.00,38896.00,0.08,1242.00,650.00,180.00,292.00,660.00,0.00,922.00,2975.30,3050.70,24.85,24.05,"""1707133"""
Brai0woo0,Will,IL,6182.00,0.06,0.22,0.15,0.49,0.95,0.00,0.00,0.00,0.00,0.04,0.06,0.91,277.00,0.01,0.80,178400.00,1383.00,597.00,1123.00,2487.00,2.52,0.89,0.03,0.97,0.90,0.96,0.17,0.06,0.02,0.61,0.54,6235.00,1954.00,0.00,38883.00,6259.00,28.50,69992.00,35834.00,0.10,62.00,0.00,0.00,0.00,0.00,0.00,0.00,1169.60,1351.80,5.30,4.58,"""1707770"""
Bri0geview,Cook,IL,16715.00,0.07,0.22,0.16,0.52,0.77,0.04,0.00,0.04,0.00,0.08,0.26,0.64,580.00,0.24,0.67,202400.00,1587.00,753.00,972.00,5944.00,2.75,0.92,0.43,0.86,0.81,0.86,0.20,0.08,0.15,0.59,0.52,73348.00,80579.00,117637.00,499053.00,30512.00,33.10,58371.00,26178.00,0.15,624.00,415.00,78.00,0.00,512.00,0.00,525.00,4119.80,3960.50,4.13,4.15,"""1708225"""
Broa0view,Cook,IL,7956.00,0.07,0.23,0.18,0.48,0.15,0.71,0.00,0.03,0.00,0.06,0.12,0.12,353.00,0.09,0.66,177800.00,1651.00,571.00,1028.00,3081.00,2.60,0.95,0.22,0.89,0.83,0.91,0.14,0.10,0.08,0.66,0.61,18399.00,3845.00,232454.00,175639.00,22622.00,30.80,56798.00,28257.00,0.12,289.00,200.00,0.00,69.00,173.00,0.00,220.00,4500.80,4462.50,1.78,1.78,"""1708446"""
Brookfiel0,Cook,IL,19054.00,0.07,0.25,0.13,0.54,0.83,0.04,0.00,0.01,0.00,0.06,0.21,0.72,944.00,0.10,0.80,276200.00,2133.00,905.00,1083.00,7590.00,2.55,0.91,0.23,0.92,0.87,0.93,0.44,0.06,0.04,0.71,0.70,0.00,42912.00,0.00,84102.00,4509.00,31.40,90083.00,42575.00,0.06,328.00,205.00,0.00,0.00,224.00,0.00,286.00,6356.40,6195.70,3.06,3.06,"""1708576"""
Buffalo Grove,Lake,IL,42794.00,0.06,0.24,0.14,0.52,0.67,0.03,0.00,0.24,0.00,0.03,0.07,0.63,843.00,0.34,0.81,341400.00,2542.00,1075.00,1800.00,15982.00,2.69,0.89,0.41,0.96,0.94,0.98,0.67,0.04,0.04,0.70,0.62,0.00,210765.00,88526.00,479939.00,11660.00,30.00,121212.00,55906.00,0.05,1266.00,0.00,237.00,0.00,929.00,0.00,1119.00,4518.70,4367.80,9.56,9.50,"""1709447"""
Burbank,Cook,IL,28789.00,0.06,0.25,0.15,0.49,0.67,0.03,0.00,0.03,0.00,0.15,0.43,0.50,736.00,0.29,0.80,215800.00,1634.00,712.00,1142.00,9482.00,3.07,0.91,0.57,0.91,0.87,0.81,0.16,0.09,0.13,0.64,0.57,54019.00,71860.00,25148.00,346661.00,12076.00,35.30,73466.00,29767.00,0.11,478.00,313.00,0.00,0.00,343.00,0.00,411.00,7059.70,6932.40,4.17,4.17,"""1709642"""
Calumet City,Cook,IL,35159.00,0.05,0.25,0.13,0.53,0.17,0.76,0.00,0.00,0.00,0.02,0.15,0.08,950.00,0.09,0.59,110600.00,1453.00,595.00,1000.00,13895.00,2.59,0.88,0.18,0.90,0.86,0.88,0.19,0.08,0.12,0.64,0.60,68772.00,76669.00,12804.00,429374.00,11732.00,37.20,52994.00,24574.00,0.22,416.00,231.00,0.00,0.00,191.00,0.00,300.00,5017.80,5155.20,7.18,7.19,"""1710487"""
Carol 0tream,0uPage,IL,39333.00,0.06,0.21,0.15,0.50,0.61,0.07,0.00,0.20,0.00,0.06,0.16,0.54,1114.00,0.27,0.69,265600.00,1989.00,907.00,1327.00,14195.00,2.78,0.87,0.37,0.96,0.93,0.91,0.42,0.05,0.07,0.70,0.64,77047.00,103830.00,369321.00,542486.00,13637.00,29.10,95342.00,39693.00,0.07,929.00,540.00,156.00,222.00,543.00,0.00,722.00,4370.40,4366.80,9.12,9.09,"""1711332"""
Carpenter0ville,Kane,IL,37598.00,0.08,0.30,0.09,0.50,0.47,0.07,0.01,0.08,0.00,0.07,0.53,0.31,1092.00,0.29,0.74,184500.00,1684.00,632.00,1290.00,11429.00,3.32,0.91,0.56,0.96,0.91,0.74,0.22,0.05,0.12,0.75,0.71,36456.00,24643.00,26103.00,348086.00,9167.00,30.40,73121.00,28333.00,0.11,523.00,310.00,106.00,198.00,276.00,0.00,443.00,4818.30,4768.90,7.88,7.90,"""1711358"""
Cary,McHenry,IL,17848.00,0.06,0.24,0.11,0.50,0.91,0.00,0.00,0.02,0.00,0.05,0.10,0.84,727.00,0.07,0.87,245400.00,2053.00,845.00,1391.00,6305.00,2.84,0.92,0.10,0.99,0.96,0.97,0.47,0.05,0.04,0.78,0.77,22147.00,21054.00,23505.00,108169.00,6051.00,29.20,106940.00,45202.00,0.03,437.00,0.00,0.00,0.00,0.00,0.00,0.00,2860.40,2914.50,6.23,6.27,"""1711592"""
Ce0ar Lake,Lake,IN,14693.00,0.07,0.24,0.16,0.50,0.96,0.00,0.00,0.01,0.00,0.03,0.03,0.95,709.00,0.02,0.79,206400.00,1402.00,519.00,991.00,5062.00,2.71,0.92,0.06,0.94,0.88,0.93,0.21,0.07,0.08,0.66,0.63,0.00,0.00,0.00,116107.00,9324.00,35.00,73611.00,36441.00,0.05,187.00,61.00,0.00,0.00,160.00,0.00,140.00,1622.10,1406.50,8.70,8.22,"""1811062"""
Channahon,Will,IL,13706.00,0.07,0.27,0.13,0.52,0.95,0.03,0.00,0.00,0.00,0.02,0.11,0.86,662.00,0.02,0.90,247800.00,1994.00,698.00,1613.00,4342.00,3.15,0.94,0.04,0.98,0.97,0.96,0.33,0.06,0.03,0.69,0.63,15338.00,0.00,0.00,71088.00,5562.00,32.70,105156.00,40721.00,0.04,233.00,0.00,0.00,0.00,165.00,0.00,180.00,856.70,837.90,15.62,14.99,"""1712476"""
Che0terton,Porter,IN,14375.00,0.08,0.24,0.14,0.51,0.88,0.03,0.00,0.03,0.00,0.07,0.09,0.83,655.00,0.06,0.69,238700.00,1600.00,574.00,1006.00,5596.00,2.49,0.91,0.08,0.95,0.89,0.97,0.39,0.06,0.04,0.68,0.58,50342.00,99816.00,81372.00,184800.00,13672.00,28.50,86098.00,46253.00,0.12,386.00,179.00,0.00,0.00,314.00,0.00,304.00,1528.30,1400.30,9.32,9.33,"""1812412"""
Chicago,Cook,IL,2696555.00,0.06,0.20,0.13,0.51,0.45,0.29,0.01,0.07,0.00,0.07,0.29,0.33,65817.00,0.20,0.46,277600.00,2097.00,749.00,1209.00,1112581.00,2.41,0.85,0.35,0.92,0.84,0.86,0.42,0.08,0.11,0.67,0.63,12308450.00,22877074.00,19271130.00,23313046.00,8601.00,34.40,65781.00,41821.00,0.17,50497.00,30205.00,10807.00,11729.00,33170.00,1861.00,42885.00,12059.80,11841.80,227.73,227.63,"""1714000"""
Chicago Height0,Cook,IL,26905.00,0.06,0.27,0.14,0.51,0.32,0.40,0.00,0.00,0.00,0.05,0.37,0.22,695.00,0.15,0.64,111900.00,1330.00,631.00,962.00,9309.00,2.91,0.92,0.33,0.86,0.80,0.81,0.18,0.08,0.13,0.60,0.55,31664.00,184847.00,103382.00,161566.00,5406.00,27.10,54870.00,23659.00,0.23,0.00,199.00,0.00,0.00,166.00,0.00,217.00,2672.40,3005.10,10.28,10.07,"""1714026"""
Chicago Ri0ge,Cook,IL,14130.00,0.08,0.23,0.16,0.51,0.72,0.08,0.00,0.03,0.00,0.13,0.14,0.66,634.00,0.24,0.56,171000.00,1410.00,647.00,1025.00,5415.00,2.58,0.94,0.41,0.90,0.87,0.92,0.27,0.05,0.14,0.61,0.57,32428.00,62576.00,155194.00,290116.00,20497.00,32.20,56494.00,26432.00,0.20,379.00,188.00,0.00,0.00,256.00,23.00,285.00,6363.80,6345.80,2.27,2.25,"""1714065"""
Cicero,Cook,IL,83161.00,0.06,0.28,0.09,0.51,0.29,0.03,0.01,0.01,0.00,0.11,0.88,0.09,1722.00,0.39,0.54,190500.00,1663.00,719.00,1015.00,23915.00,3.52,0.94,0.82,0.90,0.84,0.68,0.11,0.04,0.20,0.63,0.54,85205.00,120243.00,23034.00,741285.00,9000.00,30.20,58433.00,21012.00,0.14,857.00,515.00,151.00,392.00,355.00,20.00,739.00,14538.40,14304.80,5.87,5.86,"""1714351"""
Claren0on Hill0,0uPage,IL,8625.00,0.06,0.32,0.14,0.51,0.85,0.00,0.00,0.11,0.00,0.03,0.06,0.80,212.00,0.13,0.84,493800.00,3044.00,1250.00,1115.00,3248.00,2.67,0.92,0.19,0.98,0.96,0.97,0.76,0.04,0.05,0.65,0.60,8605.00,19623.00,387.00,45058.00,5163.00,30.50,107375.00,68420.00,0.08,211.00,0.00,56.00,0.00,162.00,0.00,185.00,4807.70,4674.90,1.81,1.80,"""1714572"""
Coal City,Grun0y,IL,5749.00,0.06,0.24,0.16,0.48,0.93,0.02,0.00,0.01,0.00,0.04,0.04,0.91,214.00,0.02,0.79,192800.00,1667.00,589.00,1014.00,2129.00,2.46,0.92,0.03,0.95,0.90,0.93,0.26,0.07,0.03,0.62,0.63,7970.00,6022.00,7439.00,31548.00,5753.00,28.50,77636.00,40025.00,0.04,123.00,67.00,0.00,0.00,110.00,0.00,83.00,1015.70,1139.30,5.62,4.90,"""1715170"""
Country Club Hill0,Cook,IL,16407.00,0.05,0.23,0.17,0.55,0.09,0.88,0.00,0.02,0.00,0.01,0.04,0.06,705.00,0.05,0.78,139800.00,1442.00,687.00,1589.00,5717.00,2.90,0.95,0.03,0.92,0.90,0.94,0.32,0.08,0.07,0.61,0.60,8009.00,11810.00,6048.00,111070.00,6644.00,34.80,64888.00,30444.00,0.11,161.00,97.00,0.00,0.00,106.00,0.00,125.00,3375.30,3432.90,4.97,4.82,"""1716691"""
Country0i0e,Cook,IL,6275.00,0.04,0.19,0.19,0.50,0.81,0.02,0.00,0.02,0.00,0.07,0.24,0.70,330.00,0.20,0.71,269200.00,1832.00,767.00,1120.00,2713.00,2.33,0.91,0.26,0.91,0.90,0.91,0.37,0.07,0.14,0.70,0.63,54717.00,0.00,103288.00,796084.00,133863.00,29.10,74750.00,46741.00,0.08,370.00,228.00,43.00,0.00,284.00,0.00,267.00,2230.70,2048.00,2.88,2.88,"""1716873"""
Crown Point,Lake,IN,34621.00,0.06,0.25,0.18,0.50,0.83,0.08,0.00,0.02,0.00,0.07,0.11,0.78,1582.00,0.06,0.87,222700.00,1544.00,538.00,1218.00,12008.00,2.67,0.89,0.10,0.94,0.92,0.93,0.34,0.07,0.03,0.62,0.58,72181.00,513179.00,33435.00,277022.00,9366.00,27.30,87500.00,37720.00,0.06,837.00,475.00,0.00,58.00,688.00,71.00,676.00,1876.40,1542.20,18.07,17.71,"""1816138"""
Cry0tal Lake,McHenry,IL,40411.00,0.05,0.25,0.15,0.50,0.91,0.01,0.00,0.03,0.00,0.03,0.13,0.81,1739.00,0.09,0.77,241500.00,1993.00,812.00,1336.00,14375.00,2.76,0.91,0.11,0.97,0.95,0.94,0.41,0.06,0.04,0.70,0.64,177071.00,302178.00,135046.00,1054227.00,26314.00,29.10,96274.00,41507.00,0.06,0.00,0.00,310.00,86.00,0.00,0.00,0.00,2128.60,2220.10,18.92,18.35,"""1717887"""
0arien,0uPage,IL,21751.00,0.03,0.19,0.22,0.50,0.77,0.04,0.00,0.12,0.00,0.07,0.08,0.74,996.00,0.19,0.81,343100.00,2187.00,898.00,1566.00,8770.00,2.52,0.93,0.25,0.96,0.95,0.96,0.53,0.05,0.07,0.67,0.62,42610.00,42504.00,59516.00,546170.00,24801.00,30.80,104226.00,51388.00,0.05,590.00,359.00,96.00,75.00,449.00,0.00,514.00,3566.80,3574.90,6.17,6.18,"""1718628"""
0eerfiel0,Lake,IL,19079.00,0.04,0.25,0.17,0.50,0.92,0.00,0.00,0.05,0.00,0.03,0.04,0.88,725.00,0.09,0.82,529600.00,3458.00,1500.00,2028.00,7475.00,2.56,0.89,0.12,0.97,0.96,0.98,0.82,0.04,0.02,0.68,0.59,105279.00,174605.00,12082.00,253814.00,13418.00,28.70,168568.00,86234.00,0.03,920.00,516.00,157.00,0.00,663.00,0.00,743.00,3472.50,3264.90,5.53,5.58,"""1718992"""
