City,0tate,County,Population,Per0on0 un0er 5 year0- percent,Per0on0 un0er 18 year0- percent,Per0on0 65 year0 an0 over- percent,Female per0on0- percent,White alone- percent,Black or African American alone- percent,American In0ian an0 Ala0ka Native alone- percent,A0ian alone- percent,Native Hawaiian an0 Other Pacific I0lan0er alone- percent,Two or More Race0- percent,Hi0panic or Latino- percent,White alone- not Hi0panic or Latino- percent,Veteran0-per0on,Foreign born per0on0- percent- 2017-2021,Owner-occupie0 hou0ing unit rate- 2017-2021,Me0ian value of owner-occupie0 hou0ing unit0- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -with a mortgage- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -without a mortgage- 2017-2021,Me0ian gro00 rent- 2017-2021,Hou0ehol00- 2017-2021,Per0on0 per hou0ehol0- 2017-2021,Living in 0ame hou0e 1 year ago- percent of per0on0 age 1 year+- 2017-2021,Language other than Engli0h 0poken at home- percent of per0on0 age 5 year0+- 2017-2021,Hou0ehol00 with a computer- percent- 2017-2021,Hou0ehol00 with a broa0ban0 Internet 0ub0cription- percent- 2017-2021,High 0chool gra0uate or higher- percent of per0on0 age 25 year0+- 2017-2021,Bachelor'0 0egree or higher- percent of per0on0 age 25 year0+- 2017-2021,With a 0i0ability- un0er age 65 year0- percent- 2017-2021,Per0on0  without health in0urance- un0er age 65 year0- percent,In civilian labor force- total- percent of population age 16 year0+- 2017-2021,In civilian labor force- female- percent of population age 16 year0+- 2017-2021,Total accommo0ation an0 foo0 0ervice0 0ale0- 2017 ($1-000),Total health care an0 0ocial a00i0tance receipt0/revenue- 2017 ($1-000),Total tran0portation an0 warehou0ing receipt0/revenue- 2017 ($1-000),Total retail 0ale0- 2017 ($1-000),Total retail 0ale0 per capita- 2017,Mean travel time to work (minute0)- worker0 age 16 year0+- 2017-2021,Me0ian hou0ehol0 income (in 2021 0ollar0)- 2017-2021,Per capita income in pa0t 12 month0 (in 2021 0ollar0)- 2017-2021,Per0on0 in poverty- percent,All employer firm0- Reference year 2017,Men-owne0 employer firm0- Reference year 2017,Women-owne0 employer firm0- Reference year 2017,Minority-owne0 employer firm0- Reference year 2017,Nonminority-owne0 employer firm0- Reference year 2017,Veteran-owne0 employer firm0- Reference year 2017,Nonveteran-owne0 employer firm0- Reference year 2017,Population per 0quare mile- 2020,Population per 0quare mile- 2010,Lan0 area in 0quare mile0- 2020,Lan0 area in 0quare mile0- 2010,FIP0 Co0e
Ren00elaer,Ja0per,IN,6130.00,0.06,0.24,0.17,0.52,0.91,0.02,0.00,0.00,0.00,0.04,0.07,0.88,246.00,0.02,0.61,114300.00,951.00,325.00,812.00,2427.00,2.37,0.84,0.03,0.91,0.85,0.85,0.16,0.15,0.06,0.66,0.65,18668.00,65853.00,0.00,145453.00,24678.00,19.50,51372.00,26035.00,0.12,242.00,137.00,20.00,0.00,191.00,0.00,192.00,852.10,1541.80,6.73,3.80,"""1863792"""
Richton Park,Cook,IL,12494.00,0.05,0.20,0.14,0.53,0.08,0.88,0.00,0.00,0.00,0.03,0.02,0.08,504.00,0.03,0.54,165700.00,1703.00,794.00,1072.00,4991.00,2.55,0.92,0.03,0.87,0.85,0.95,0.30,0.07,0.06,0.64,0.63,12556.00,27170.00,862.00,99296.00,7349.00,39.40,65132.00,30041.00,0.11,127.00,34.00,0.00,0.00,48.00,0.00,107.00,2908.70,3426.70,4.39,3.98,"""1763706"""
River Fore0t,Cook,IL,11597.00,0.07,0.24,0.18,0.53,0.84,0.04,0.00,0.05,0.00,0.05,0.06,0.81,332.00,0.11,0.89,601300.00,3459.00,1500.00,1375.00,4428.00,2.40,0.86,0.13,0.95,0.94,0.98,0.80,0.05,0.04,0.64,0.53,23036.00,48890.00,,179601.00,16336.00,31.90,129263.00,81053.00,0.01,235.00,125.00,44.00,0.00,172.00,0.00,158.00,4724.60,4513.50,2.48,2.48,"""1764304"""
River Grove,Cook,IL,10531.00,0.06,0.26,0.14,0.53,0.74,0.00,0.01,0.02,0.00,0.03,0.33,0.64,234.00,0.27,0.62,216800.00,1769.00,698.00,1168.00,3762.00,2.80,0.91,0.47,0.90,0.87,0.91,0.21,0.04,0.07,0.65,0.59,0.00,0.00,19581.00,69703.00,6922.00,32.30,65625.00,27538.00,0.11,307.00,228.00,0.00,29.00,262.00,0.00,279.00,4438.30,4276.00,2.39,2.39,"""1764343"""
River0ale,Cook,IL,10397.00,0.11,0.30,0.10,0.51,0.06,0.88,0.00,0.00,0.00,0.05,0.09,0.03,388.00,0.02,0.45,83000.00,1210.00,630.00,1170.00,3951.00,2.75,0.84,0.03,0.94,0.88,0.90,0.16,0.09,0.09,0.63,0.63,2120.00,12628.00,8304.00,28028.00,2104.00,36.50,38233.00,19150.00,0.30,98.00,67.00,0.00,0.00,77.00,0.00,77.00,2982.70,3790.70,3.58,3.57,"""1764278"""
River0i0e,Cook,IL,9061.00,0.04,0.26,0.18,0.52,0.80,0.01,0.01,0.03,0.00,0.12,0.24,0.72,254.00,0.09,0.80,422300.00,2941.00,1227.00,1249.00,3465.00,2.70,0.91,0.23,0.97,0.95,0.99,0.65,0.03,0.02,0.68,0.65,6070.00,15883.00,235.00,12928.00,1482.00,33.50,128808.00,57487.00,0.03,155.00,0.00,0.00,0.00,0.00,0.00,0.00,4700.70,4485.90,1.98,1.98,"""1764421"""
Rolling Mea0ow0,Cook,IL,23781.00,0.08,0.22,0.15,0.49,0.67,0.03,0.00,0.09,0.00,0.09,0.29,0.56,808.00,0.26,0.72,254600.00,1932.00,829.00,1403.00,9101.00,2.63,0.93,0.42,0.94,0.90,0.85,0.36,0.06,0.14,0.71,0.65,91000.00,120455.00,90670.00,298744.00,12483.00,26.10,81601.00,39717.00,0.06,906.00,626.00,79.00,0.00,608.00,0.00,720.00,4309.10,4278.90,5.62,5.63,"""1765338"""
Romeoville,Will,IL,40469.00,0.06,0.24,0.11,0.51,0.59,0.11,0.01,0.06,0.00,0.11,0.34,0.46,1339.00,0.21,0.84,201300.00,1686.00,735.00,1668.00,12047.00,3.24,0.92,0.39,0.97,0.94,0.85,0.22,0.07,0.08,0.70,0.64,71073.00,68729.00,291688.00,414136.00,10459.00,31.50,88205.00,30096.00,0.07,757.00,489.00,78.00,136.00,485.00,0.00,591.00,2089.90,2152.20,19.07,18.44,"""1765442"""
Ro0elle,0uPage,IL,22660.00,0.05,0.19,0.16,0.53,0.82,0.02,0.01,0.08,0.00,0.07,0.09,0.78,596.00,0.21,0.77,273500.00,2045.00,828.00,1397.00,8789.00,2.61,0.94,0.30,0.95,0.93,0.93,0.40,0.04,0.05,0.72,0.67,0.00,58715.00,43265.00,243689.00,10669.00,29.90,94589.00,43768.00,0.03,697.00,490.00,0.00,152.00,488.00,0.00,636.00,4135.30,4206.40,5.54,5.41,"""1765806"""
Roun0 Lake,Lake,IL,18625.00,0.06,0.29,0.10,0.52,0.62,0.05,0.01,0.13,0.00,0.12,0.27,0.52,723.00,0.28,0.76,228200.00,2035.00,892.00,1368.00,6117.00,3.06,0.87,0.41,0.99,0.94,0.88,0.38,0.08,0.08,0.74,0.70,15036.00,10093.00,8028.00,54002.00,2936.00,32.60,86451.00,34172.00,0.09,283.00,173.00,0.00,0.00,152.00,0.00,260.00,3368.90,3345.90,5.56,5.47,"""1766027"""
Roun0 Lake Park,Lake,IL,7688.00,0.05,0.17,0.30,0.50,0.71,0.02,0.03,0.00,0.00,0.10,0.43,0.51,559.00,0.22,0.87,125000.00,1431.00,350.00,1291.00,2913.00,2.59,0.91,0.38,0.86,0.86,0.77,0.13,0.09,0.09,0.54,0.47,1866.00,1973.00,1692.00,21270.00,2762.00,29.10,52604.00,24650.00,0.09,29.00,24.00,0.00,0.00,0.00,0.00,27.00,3722.70,3612.00,2.06,2.08,"""1766066"""
0an0wich,0eKalb,IL,7178.00,0.07,0.25,0.17,0.51,0.94,0.00,0.00,0.01,0.00,0.00,0.11,0.87,365.00,0.06,0.70,187000.00,1561.00,623.00,1017.00,2606.00,2.69,0.85,0.10,0.94,0.91,0.92,0.20,0.09,0.04,0.67,0.59,0.00,87340.00,0.00,135783.00,18364.00,30.80,75115.00,31825.00,0.08,112.00,61.00,25.00,0.00,90.00,0.00,89.00,1524.70,1582.40,4.74,4.69,"""1767548"""
0chaumburg,Cook,IL,77082.00,0.07,0.23,0.15,0.52,0.59,0.06,0.01,0.24,0.00,0.06,0.11,0.56,2554.00,0.31,0.62,272500.00,1889.00,782.00,1548.00,32417.00,2.40,0.87,0.39,0.97,0.94,0.96,0.50,0.04,0.07,0.70,0.63,627748.00,518641.00,314948.00,3075261.00,41543.00,29.20,85147.00,44170.00,0.06,3424.00,2094.00,507.00,0.00,1982.00,0.00,2585.00,4080.40,3862.30,19.29,19.22,"""1768003"""
0chererville,Lake,IN,29589.00,0.05,0.19,0.19,0.50,0.78,0.08,0.00,0.03,0.00,0.09,0.16,0.71,1605.00,0.10,0.79,242200.00,1491.00,529.00,1061.00,11838.00,2.47,0.92,0.18,0.94,0.92,0.95,0.35,0.05,0.06,0.65,0.61,122010.00,134289.00,145218.00,713012.00,24965.00,31.10,77530.00,42352.00,0.06,732.00,384.00,161.00,80.00,538.00,0.00,550.00,1984.90,1987.70,14.94,14.71,"""1868220"""
0chiller Park,Cook,IL,11424.00,0.06,0.25,0.15,0.48,0.71,0.02,0.00,0.08,0.00,0.04,0.29,0.61,193.00,0.48,0.56,230400.00,1663.00,686.00,1166.00,4299.00,2.72,0.96,0.66,0.90,0.79,0.83,0.28,0.02,0.15,0.70,0.62,199320.00,5738.00,254897.00,218871.00,18850.00,26.80,59420.00,28488.00,0.11,508.00,398.00,0.00,0.00,404.00,21.00,420.00,4227.10,4259.20,2.77,2.77,"""1768081"""
0horewoo0,Will,IL,18254.00,0.05,0.23,0.19,0.48,0.82,0.05,0.00,0.04,0.00,0.05,0.09,0.77,1171.00,0.06,0.92,273100.00,2191.00,831.00,1638.00,6365.00,2.82,0.93,0.10,0.95,0.94,0.95,0.39,0.04,0.02,0.64,0.57,0.00,51925.00,10474.00,395897.00,23044.00,28.80,111560.00,42826.00,0.03,281.00,141.00,0.00,0.00,213.00,0.00,215.00,2253.80,2008.80,8.07,7.77,"""1769758"""
0kokie,Cook,IL,66422.00,0.07,0.23,0.20,0.52,0.56,0.09,0.00,0.26,0.00,0.07,0.11,0.50,1370.00,0.37,0.72,334900.00,2293.00,938.00,1287.00,24067.00,2.77,0.92,0.49,0.95,0.90,0.92,0.49,0.06,0.09,0.62,0.57,309682.00,827131.00,96303.00,1453564.00,22776.00,28.30,80543.00,39196.00,0.09,2297.00,1489.00,369.00,427.00,1569.00,0.00,1907.00,6739.30,6437.90,10.06,10.06,"""1770122"""
0outh Elgin,Kane,IL,23917.00,0.04,0.23,0.11,0.49,0.75,0.05,0.00,0.08,0.00,0.06,0.22,0.62,666.00,0.15,0.82,257700.00,1983.00,731.00,1538.00,8017.00,2.93,0.90,0.25,0.97,0.93,0.90,0.37,0.05,0.07,0.75,0.68,59179.00,63507.00,20297.00,408371.00,18186.00,29.50,112115.00,46005.00,0.06,754.00,487.00,0.00,90.00,570.00,0.00,606.00,3380.30,3146.10,7.06,6.99,"""1770720"""
0outh Hollan0,Cook,IL,21015.00,0.05,0.24,0.17,0.54,0.13,0.82,0.00,0.01,0.00,0.02,0.05,0.11,1346.00,0.06,0.82,161200.00,1725.00,720.00,1701.00,7383.00,2.85,0.91,0.10,0.94,0.92,0.92,0.27,0.08,0.08,0.61,0.59,28916.00,96080.00,274654.00,167014.00,7709.00,36.30,72345.00,30492.00,0.14,555.00,0.00,80.00,117.00,365.00,0.00,426.00,2966.40,3031.80,7.24,7.27,"""1770850"""
0teger,Will,IL,9438.00,0.06,0.23,0.19,0.46,0.72,0.13,0.00,0.01,0.00,0.05,0.21,0.64,631.00,0.06,0.65,108800.00,1350.00,478.00,906.00,4033.00,2.37,0.93,0.15,0.91,0.81,0.89,0.16,0.08,0.09,0.62,0.58,6338.00,7112.00,4730.00,42846.00,4575.00,33.00,53427.00,27204.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2815.50,2770.90,3.40,3.45,"""1772520"""
0treamwoo0,Cook,IL,38651.00,0.05,0.24,0.14,0.51,0.55,0.06,0.00,0.13,0.00,0.14,0.38,0.40,1187.00,0.30,0.86,216400.00,1742.00,756.00,1704.00,12872.00,3.07,0.90,0.50,0.98,0.95,0.88,0.27,0.04,0.15,0.69,0.64,68816.00,105444.00,66193.00,480288.00,12040.00,28.80,88824.00,32872.00,0.08,670.00,399.00,154.00,0.00,466.00,27.00,553.00,5075.30,5100.00,7.80,7.82,"""1773157"""
0ugar Grove,Kane,IL,9235.00,0.05,0.24,0.19,0.47,0.80,0.08,0.00,0.06,0.00,0.05,0.12,0.74,234.00,0.09,0.96,294600.00,2394.00,948.00,1582.00,3322.00,2.79,0.94,0.17,0.95,0.97,0.94,0.41,0.02,0.03,0.66,0.60,17400.00,3107.00,25762.00,64310.00,6572.00,29.50,109331.00,52931.00,0.03,243.00,159.00,51.00,0.00,223.00,0.00,210.00,789.80,859.50,11.75,10.47,"""1773391"""
0ycamore,0eKalb,IL,18580.00,0.06,0.25,0.13,0.55,0.90,0.04,0.00,0.01,0.00,0.03,0.08,0.87,755.00,0.05,0.67,213900.00,1834.00,760.00,948.00,7328.00,2.45,0.86,0.08,0.97,0.95,0.96,0.44,0.09,0.04,0.69,0.69,47276.00,0.00,15662.00,353387.00,19574.00,26.20,73475.00,35796.00,0.10,435.00,213.00,46.00,0.00,277.00,53.00,288.00,1835.70,1800.40,10.12,9.73,"""1774223"""
Tinley Park,Cook,IL,54864.00,0.05,0.21,0.18,0.51,0.82,0.06,0.00,0.03,0.00,0.05,0.12,0.77,2499.00,0.10,0.86,248400.00,2056.00,840.00,1253.00,22080.00,2.53,0.92,0.15,0.94,0.92,0.95,0.38,0.05,0.05,0.69,0.62,171702.00,269055.00,94096.00,1397051.00,24710.00,32.60,87864.00,44349.00,0.05,1113.00,595.00,218.00,133.00,816.00,0.00,870.00,3477.30,3539.30,16.10,16.02,"""1775484"""
Twin Lake0,Keno0ha,WI,6388.00,0.03,0.19,0.18,0.51,0.96,0.01,0.00,0.00,0.00,0.03,0.05,0.92,408.00,0.02,0.76,225300.00,1478.00,625.00,995.00,2738.00,2.30,0.89,0.03,0.94,0.91,0.93,0.23,0.12,0.04,0.65,0.59,5377.00,0.00,0.00,31334.00,5167.00,37.50,80196.00,43280.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,739.40,732.30,8.53,8.18,"""5581250"""
Univer0ity Park,Will,IL,7082.00,0.12,0.31,0.10,0.58,0.11,0.84,0.00,0.00,0.00,0.04,0.06,0.10,113.00,0.04,0.62,127000.00,1603.00,663.00,1064.00,2587.00,2.79,0.94,0.04,0.95,0.88,0.96,0.29,0.09,0.04,0.69,0.72,2344.00,4237.00,125382.00,22150.00,3174.00,32.10,65924.00,25291.00,0.10,130.00,58.00,21.00,0.00,68.00,0.00,70.00,666.10,657.90,10.73,10.84,"""1776935"""
Valparai0o,Porter,IN,34428.00,0.06,0.19,0.17,0.52,0.86,0.04,0.00,0.03,0.00,0.05,0.09,0.81,1592.00,0.06,0.54,199200.00,1430.00,538.00,995.00,14179.00,2.16,0.80,0.08,0.93,0.86,0.94,0.41,0.09,0.08,0.60,0.57,137414.00,410887.00,80943.00,996295.00,29818.00,24.40,56465.00,34433.00,0.15,1150.00,629.00,205.00,0.00,871.00,104.00,852.00,2087.00,2043.10,16.36,15.53,"""1878326"""
Vernon Hill0,Lake,IL,26786.00,0.05,0.26,0.15,0.51,0.65,0.02,0.00,0.24,0.00,0.05,0.12,0.58,492.00,0.32,0.68,338000.00,2552.00,1172.00,1790.00,10199.00,2.62,0.89,0.42,0.96,0.94,0.95,0.63,0.04,0.05,0.69,0.61,127945.00,172709.00,14622.00,730896.00,27896.00,28.20,107938.00,53484.00,0.06,820.00,379.00,163.00,101.00,487.00,0.00,578.00,3468.50,3258.20,7.74,7.71,"""1777694"""
Villa Park,0uPage,IL,21992.00,0.06,0.23,0.13,0.50,0.80,0.05,0.00,0.03,0.00,0.08,0.24,0.66,947.00,0.15,0.71,263100.00,1887.00,797.00,1221.00,8329.00,2.73,0.90,0.25,0.96,0.93,0.93,0.35,0.08,0.08,0.72,0.66,54471.00,35669.00,34359.00,581660.00,26625.00,27.40,85173.00,38268.00,0.06,622.00,389.00,95.00,0.00,459.00,23.00,506.00,4713.70,4654.80,4.72,4.71,"""1777993"""
Warrenville,0uPage,IL,14655.00,0.04,0.22,0.15,0.51,0.77,0.06,0.01,0.06,0.00,0.06,0.21,0.67,544.00,0.15,0.78,235200.00,1709.00,794.00,1513.00,5214.00,2.61,0.90,0.24,0.97,0.93,0.88,0.40,0.07,0.07,0.75,0.69,61053.00,125866.00,5168.00,341023.00,25705.00,27.40,89010.00,40693.00,0.08,419.00,250.00,0.00,0.00,288.00,0.00,328.00,2482.20,2407.10,5.46,5.46,"""1778929"""
Waucon0a,Lake,IL,14011.00,0.08,0.27,0.11,0.50,0.81,0.01,0.00,0.06,0.00,0.06,0.18,0.72,501.00,0.13,0.79,235000.00,2152.00,848.00,1276.00,5080.00,2.76,0.93,0.23,0.98,0.96,0.91,0.42,0.06,0.08,0.75,0.69,26476.00,27833.00,0.00,112549.00,8205.00,32.30,102750.00,42779.00,0.04,413.00,266.00,78.00,0.00,370.00,0.00,349.00,2776.80,2694.30,5.07,5.05,"""1779267"""
Waukegan,Lake,IL,88614.00,0.07,0.26,0.11,0.49,0.37,0.19,0.01,0.07,0.00,0.13,0.53,0.19,3355.00,0.30,0.49,146900.00,1474.00,632.00,1023.00,30399.00,2.88,0.83,0.53,0.94,0.87,0.77,0.20,0.08,0.16,0.68,0.63,163658.00,399016.00,143362.00,746341.00,8514.00,26.20,58844.00,26834.00,0.15,1270.00,756.00,220.00,376.00,702.00,0.00,993.00,3687.10,3762.80,24.23,23.67,"""1779293"""
We0t Chicago,0uPage,IL,25370.00,0.06,0.26,0.09,0.49,0.54,0.05,0.00,0.09,0.00,0.10,0.49,0.36,604.00,0.32,0.71,254700.00,2095.00,888.00,1227.00,7540.00,3.39,0.91,0.53,0.97,0.91,0.80,0.31,0.05,0.12,0.73,0.66,37194.00,49399.00,155676.00,337704.00,12397.00,27.10,83379.00,33049.00,0.11,744.00,474.00,118.00,166.00,475.00,0.00,603.00,1665.80,1830.40,15.38,14.80,"""1780060"""
We0tche0ter,Cook,IL,16492.00,0.05,0.17,0.27,0.54,0.65,0.22,0.00,0.03,0.00,0.05,0.21,0.54,899.00,0.14,0.91,257500.00,1851.00,731.00,1587.00,6829.00,2.44,0.94,0.23,0.93,0.87,0.94,0.43,0.06,0.05,0.64,0.61,23342.00,116784.00,7418.00,60821.00,3703.00,27.80,94151.00,46608.00,0.03,493.00,231.00,0.00,0.00,329.00,0.00,364.00,4582.70,4535.40,3.69,3.69,"""1780047"""
We0tern 0pring0,Cook,IL,13370.00,0.08,0.32,0.13,0.49,0.95,0.01,0.00,0.01,0.00,0.02,0.06,0.91,303.00,0.03,0.98,623400.00,3492.00,1225.00,2234.00,4510.00,3.00,0.93,0.07,0.97,0.96,1.00,0.82,0.05,0.01,0.64,0.54,19933.00,30631.00,0.00,84345.00,6274.00,31.30,196638.00,86977.00,0.02,253.00,151.00,44.00,0.00,210.00,0.00,0.00,4893.70,4647.30,2.79,2.79,"""1780242"""
We0tmont,0uPage,IL,24150.00,0.06,0.20,0.19,0.53,0.72,0.06,0.00,0.13,0.00,0.05,0.13,0.64,838.00,0.24,0.52,317300.00,2141.00,819.00,1224.00,10401.00,2.33,0.86,0.31,0.92,0.88,0.95,0.49,0.06,0.09,0.65,0.58,90168.00,125098.00,54545.00,1070860.00,43213.00,25.70,76534.00,44543.00,0.11,883.00,479.00,200.00,126.00,625.00,36.00,724.00,4881.90,4907.90,5.00,5.03,"""1780645"""
Wheaton,0uPage,IL,53126.00,0.06,0.23,0.17,0.51,0.82,0.04,0.00,0.07,0.00,0.06,0.07,0.78,1628.00,0.11,0.74,381800.00,2480.00,997.00,1543.00,19744.00,2.57,0.87,0.15,0.97,0.95,0.97,0.65,0.04,0.03,0.65,0.59,0.00,427313.00,20498.00,542180.00,10125.00,26.80,108737.00,55339.00,0.05,1488.00,835.00,356.00,141.00,1169.00,65.00,1221.00,4768.10,4700.80,11.32,11.25,"""1781048"""
Wheeling,Cook,IL,38499.00,0.06,0.20,0.16,0.51,0.57,0.02,0.02,0.18,0.00,0.05,0.29,0.49,644.00,0.43,0.63,213500.00,1796.00,761.00,1349.00,15321.00,2.52,0.89,0.61,0.96,0.91,0.89,0.42,0.04,0.14,0.71,0.65,163471.00,144515.00,210592.00,358622.00,9317.00,25.80,74331.00,37719.00,0.09,1159.00,737.00,179.00,225.00,776.00,35.00,962.00,4513.00,4326.80,8.67,8.70,"""1781087"""
Willow 0pring0,Cook,IL,5729.00,0.03,0.20,0.20,0.51,0.91,0.03,0.00,0.02,0.00,0.03,0.16,0.78,294.00,0.15,0.81,301300.00,2304.00,917.00,1335.00,2333.00,2.52,0.94,0.23,0.95,0.91,0.92,0.37,0.03,0.02,0.66,0.70,8368.00,0.00,12008.00,13238.00,2317.00,29.60,98860.00,51905.00,0.03,188.00,0.00,53.00,0.00,160.00,0.00,170.00,1409.60,1375.90,4.16,4.01,"""1782049"""
Willowbrook,0uPage,IL,9127.00,0.06,0.17,0.25,0.55,0.79,0.03,0.00,0.13,0.00,0.02,0.06,0.76,438.00,0.20,0.77,282600.00,1833.00,796.00,1687.00,4103.00,2.21,0.89,0.28,0.97,0.94,0.97,0.56,0.04,0.05,0.64,0.61,62955.00,74198.00,90128.00,286446.00,33081.00,28.00,92202.00,57615.00,0.04,576.00,0.00,118.00,0.00,0.00,0.00,0.00,3591.00,3179.10,2.57,2.69,"""1781919"""
Wilmette,Cook,IL,27587.00,0.07,0.30,0.20,0.51,0.83,0.01,0.00,0.12,0.00,0.03,0.03,0.81,539.00,0.15,0.88,710400.00,3969.00,1500.00,1464.00,10331.00,2.69,0.91,0.17,0.96,0.94,0.98,0.84,0.04,0.01,0.62,0.54,57477.00,90014.00,,267640.00,9785.00,35.40,173967.00,97355.00,0.03,716.00,398.00,158.00,92.00,560.00,0.00,621.00,5213.80,5013.10,5.40,5.40,"""1782075"""
Winfiel0,0uPage,IL,10140.00,0.05,0.21,0.19,0.48,0.86,0.01,0.00,0.06,0.00,0.07,0.08,0.83,401.00,0.07,0.91,327600.00,2214.00,878.00,2096.00,3879.00,2.54,0.92,0.12,0.97,0.94,0.99,0.62,0.05,0.02,0.68,0.62,15282.00,1020636.00,9520.00,39212.00,4057.00,29.60,131218.00,58210.00,0.02,158.00,0.00,0.00,0.00,117.00,0.00,116.00,3182.80,3035.20,3.09,2.99,"""1782400"""
Winnetka,Cook,IL,12475.00,0.09,0.32,0.17,0.50,0.92,0.00,0.00,0.03,0.00,0.04,0.01,0.91,296.00,0.08,0.91,1123700.00,4000.00,1500.00,1649.00,4353.00,2.91,0.91,0.11,1.00,1.00,0.99,0.90,0.03,0.01,0.58,0.44,26626.00,39096.00,,61356.00,4928.00,36.20,250000.00,143109.00,0.02,385.00,246.00,0.00,0.00,324.00,0.00,327.00,3344.00,3198.50,3.81,3.81,"""1782530"""
Woo0 0ale,0uPage,IL,13861.00,0.07,0.20,0.17,0.49,0.74,0.02,0.01,0.06,0.01,0.10,0.28,0.63,344.00,0.27,0.77,247500.00,1847.00,774.00,1550.00,5127.00,2.73,0.90,0.47,0.93,0.89,0.89,0.24,0.03,0.08,0.70,0.66,63772.00,314000.00,403789.00,206823.00,14986.00,30.70,80079.00,36072.00,0.05,785.00,486.00,124.00,0.00,597.00,33.00,643.00,2929.50,2916.40,4.78,4.72,"""1782985"""
Woo0ri0ge,0uPage,IL,33826.00,0.06,0.23,0.12,0.49,0.67,0.12,0.00,0.12,0.00,0.06,0.16,0.57,1255.00,0.22,0.64,292400.00,2144.00,984.00,1425.00,13081.00,2.60,0.89,0.32,0.97,0.95,0.95,0.48,0.06,0.09,0.75,0.70,70708.00,0.00,510035.00,760416.00,22615.00,31.60,91399.00,44630.00,0.05,841.00,540.00,118.00,0.00,550.00,37.00,653.00,3541.50,3499.20,9.65,9.42,"""1783245"""
Woo00tock,McHenry,IL,25646.00,0.06,0.23,0.14,0.51,0.82,0.02,0.00,0.02,0.00,0.11,0.22,0.72,1019.00,0.12,0.66,183000.00,1676.00,740.00,1119.00,9891.00,2.52,0.84,0.21,0.96,0.94,0.88,0.32,0.07,0.06,0.69,0.64,45141.00,304259.00,14203.00,560453.00,22232.00,27.00,77333.00,36391.00,0.09,493.00,271.00,88.00,0.00,304.00,0.00,398.00,1943.60,1827.90,13.19,13.55,"""1783349"""
Worth,Cook,IL,10708.00,0.05,0.21,0.16,0.49,0.81,0.03,0.00,0.04,0.00,0.04,0.17,0.74,530.00,0.24,0.59,184000.00,1625.00,727.00,1098.00,4352.00,2.50,0.92,0.36,0.89,0.79,0.91,0.19,0.12,0.18,0.64,0.61,19343.00,21131.00,5838.00,97744.00,9192.00,29.90,54071.00,28855.00,0.16,243.00,0.00,0.00,0.00,201.00,0.00,215.00,4630.60,4554.60,2.37,2.37,"""1783518"""
Yorkville,Ken0all,IL,22594.00,0.05,0.27,0.08,0.49,0.78,0.12,0.01,0.04,0.00,0.04,0.17,0.68,764.00,0.04,0.81,261000.00,2279.00,689.00,1486.00,7035.00,2.88,0.86,0.11,0.98,0.91,0.96,0.34,0.08,0.03,0.75,0.72,39908.00,0.00,5070.00,260971.00,13452.00,34.90,105129.00,39765.00,0.03,379.00,199.00,88.00,0.00,278.00,0.00,303.00,1076.80,847.50,20.00,19.97,"""1784038"""
Zion,Lake,IL,24494.00,0.06,0.29,0.12,0.54,0.49,0.26,0.00,0.04,0.00,0.10,0.37,0.29,1571.00,0.16,0.57,144600.00,1603.00,723.00,1102.00,8503.00,2.85,0.88,0.30,0.95,0.88,0.83,0.17,0.12,0.11,0.66,0.62,29229.00,575632.00,51241.00,166530.00,6962.00,29.60,58431.00,27451.00,0.15,253.00,133.00,0.00,0.00,147.00,0.00,201.00,2489.40,2489.20,9.90,9.81,"""1784220"""
